0: R0 = 7153; R151165409; R31654
1: R0 = 1654; R12735716; R37357
2: R0 = 7357; R154125449; R31254
3: R0 = 1254; R11572516; R35725
4: R0 = 5725; R132775625; R37756
5: R0 = 7756; R160155536; R31555
6: R0 = 1555; R12418025; R34180
7: R0 = 4180; R117472400; R34724
8: R0 = 4724; R122316176; R33161
9: R0 = 3161; R19991921; R39919
10: R0 = 9919; R198386561; R33865
11: R0 = 3865; R114938225; R39382
12: R0 = 9382; R188021924; R3219
13: R0 = 219; R147961; R34796
14: R0 = 4796; R123001616; R316
15: R0 = 16; R1256; R3256
16: R0 = 256; R165536; R36553
17: R0 = 6553; R142941809; R39418
18: R0 = 9418; R188698724; R36987
19: R0 = 6987; R148818169; R38181
20: R0 = 8181; R166928761; R39287
21: R0 = 9287; R186248369; R32483
22: R0 = 2483; R16165289; R31652
23: R0 = 1652; R12729104; R37291
24: R0 = 7291; R153158681; R31586
25: R0 = 1586; R12515396; R35153
26: R0 = 5153; R126553409; R35534
27: R0 = 5534; R130625156; R36251
28: R0 = 6251; R139075001; R3750
29: R0 = 750; R1562500; R36250
30: R0 = 6250; R139062500; R3625
31: R0 = 625; R1390625; R39062
32: R0 = 9062; R182119844; R31198
33: R0 = 1198; R11435204; R34352
34: R0 = 4352; R118939904; R39399
35: R0 = 9399; R188341201; R33412
36: R0 = 3412; R111641744; R36417
37: R0 = 6417; R141177889; R31778
38: R0 = 1778; R13161284; R31612
39: R0 = 1612; R12598544; R35985
40: R0 = 5985; R135820225; R38202
41: R0 = 8202; R167272804; R32728
42: R0 = 2728; R17441984; R34419
43: R0 = 4419; R119527561; R35275
44: R0 = 5275; R127825625; R38256
45: R0 = 8256; R168161536; R31615
46: R0 = 1615; R12608225; R36082
47: R0 = 6082; R136990724; R39907
48: R0 = 9907; R198148649; R31486
49: R0 = 1486; R12208196; R32081
50: R0 = 2081; R14330561; R33305
51: R0 = 3305; R110923025; R39230
52: R0 = 9230; R185192900; R31929
53: R0 = 1929; R13721041; R37210
54: R0 = 7210; R151984100; R39841
55: R0 = 9841; R196845281; R38452
56: R0 = 8452; R171436304; R34363
57: R0 = 4363; R119035769; R3357
58: R0 = 357; R1127449; R32744
59: R0 = 2744; R17529536; R35295
60: R0 = 5295; R128037025; R3370
61: R0 = 370; R1136900; R33690
62: R0 = 3690; R113616100; R36161
63: R0 = 6161; R137957921; R39579
64: R0 = 9579; R191757241; R37572
65: R0 = 7572; R157335184; R33351
66: R0 = 3351; R111229201; R32292
67: R0 = 2292; R15253264; R32532
68: R0 = 2532; R16411024; R34110
69: R0 = 4110; R116892100; R38921
70: R0 = 8921; R179584241; R35842
71: R0 = 5842; R134128964; R31289
72: R0 = 1289; R11661521; R36615
73: R0 = 6615; R143758225; R37582
74: R0 = 7582; R157486724; R34867
75: R0 = 4867; R123687689; R36876
76: R0 = 6876; R147279376; R32793
77: R0 = 2793; R17800849; R38008
78: R0 = 8008; R164128064; R31280
79: R0 = 1280; R11638400; R36384
80: R0 = 6384; R140755456; R37554
81: R0 = 7554; R157062916; R3629
82: R0 = 629; R1395641; R39564
83: R0 = 9564; R191470096; R34700
84: R0 = 4700; R122090000; R3900
85: R0 = 900; R1810000; R31000
86: R0 = 1000; R11000000; R30
87: R0 = 0; R10; R30
88: R0 = 0; R10; R30
89: R0 = 0; R10; R30
90: R0 = 0; R10; R30
91: R0 = 0; R10; R30
92: R0 = 0; R10; R30
93: R0 = 0; R10; R30
94: R0 = 0; R10; R30
95: R0 = 0; R10; R30
96: R0 = 0; R10; R30
97: R0 = 0; R10; R30
98: R0 = 0; R10; R30
99: R0 = 0; R10; R30
100: R0 = 0; R10; R30
101: R0 = 0; R10; R30
102: R0 = 0; R10; R30
103: R0 = 0; R10; R30
104: R0 = 0; R10; R30
105: R0 = 0; R10; R30
106: R0 = 0; R10; R30
107: R0 = 0; R10; R30
108: R0 = 0; R10; R30
109: R0 = 0; R10; R30
110: R0 = 0; R10; R30
111: R0 = 0; R10; R30
112: R0 = 0; R10; R30
113: R0 = 0; R10; R30
114: R0 = 0; R10; R30
115: R0 = 0; R10; R30
116: R0 = 0; R10; R30
117: R0 = 0; R10; R30
118: R0 = 0; R10; R30
119: R0 = 0; R10; R30
